prompt_type,judge_model,dataset_name,n_shots,transcript_type,concat_fewshot,aggregate_fewshot,concat_test,two_turns,model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gpt4o-audio,0.0,0.0,0.0,0.5,1.0,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gpt4o-audio+asr+tts,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.48765432098765427,0.5308641975308641,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gemini2-flash-exp,0.5061728395061729,0.48148148148148145,0.49382716049382713,0.5462962962962963,0.10493827160493827,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gemini2-flash-exp+asr+tts,0.37037037037037035,0.3333333333333333,0.35185185185185186,0.3827160493827161,0.06172839506172839,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,typhoon2-audio,0.1111111111111111,0.09876543209876543,0.10493827160493827,0.13271604938271603,0.05555555555555555,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,llama-omni,0.1375,0.1125,0.125,0.1375,0.025,80
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,moshi,0.0,0.0,0.0,0.0030864197530864196,0.006172839506172839,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gpt4o-text+tts,0.6296296296296297,0.5679012345679012,0.5987654320987654,0.6141975308641975,0.030864197530864196,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,gemini2-flash-text+tts,0.48148148148148145,0.49382716049382713,0.48765432098765427,0.5432098765432098,0.1111111111111111,81
lexical_cot,gemini-2.5-flash-preview-04-17,speakbench,0,none,False,False,False,False,diva+tts,0.30864197530864196,0.2716049382716049,0.2901234567901234,0.2901234567901234,0.0,81
